X,Y,Z,Distance,Pan,Tilt
95.42144468914964,44.4957504107641,-28.21127591617476,109,25,-15
98.1792828817933,-45.78175147994618,-19.101299543362337,110,-25,-10
30.53874708714467,-11.11519493150435,-5.730389863008701,33,-20,-10
27.586286034361734,-7.391723065081185,-5.0357971523409795,29,-15,-10
26.18585038060976,-4.617271934896527,-4.688500797007119,27,-10,-10
25.50756681695058,-2.2316229306132134,-4.514852619340188,26,-5,-10
83.70865900603768,0.0,-14.760095101689078,85,0,-10
85.3522428105654,7.467353652436522,-15.107391457022938,87,5,-10
14.547694655894313,2.5651510749425155,-2.6047226650039548,15,10,-10
66.58758697949385,17.842090157092514,-12.155372436685123,70,15,-10
99.0195738886206,36.04017750518077,-18.580355010361547,107,20,-10
96.39420501121523,44.94935599849261,-18.754003188028477,108,25,-10
98.41163233908391,-45.89009781124895,-9.49997595949474,109,-25,-5
33.70020503986293,-12.265871523177962,-3.137606738915694,36,-20,-5
28.867505606971747,-7.735024814888986,-2.614672282429745,30,-15,-5
27.469687341331394,-4.843647029902505,-2.4403607969344288,28,-10,-5
25.802500789158707,-2.2574263096700946,-2.2660493114391125,26,-5,-5
25.901062150385386,0.0,-2.2660493114391125,26,0,-5
84.35432950301885,7.38004755084454,-7.408238133550944,85,5,-5
19.621205243808138,3.4597478785017888,-1.7431148549531632,20,10,-5
9.622501868990582,2.5783416049629952,-0.8715574274765816,10,15,-5
100.16449831292593,36.45689591611227,-9.325664473999424,107,20,-5
96.60591431451356,45.04807766792327,-9.325664473999424,107,25,-5
99.6938565740315,-46.488008791476936,0.0,110,-25,0
34.76862696907861,-12.654745303049742,0.0,37,-20,0
30.909626441250186,-8.282209443280664,0.0,32,-15,0
28.559424837354033,-5.0357971523409795,0.0,29,-10,0
27.893451546568876,-2.4403607969344288,0.0,28,-5,0
28.0,0.0,0.0,28,0,0
24.90486745229364,2.1788935686914543,0.0,25,5,0
15.756924048195328,2.7783708426708853,0.0,16,10,0
28.97777478867205,7.764571353075622,0.0,30,15,0
35.70831958986452,12.996765446375411,0.0,38,20,0
37.15861926850265,17.327348731368676,0.0,41,25,0
89.38304221623217,-41.6799970946206,8.62841853201816,99,-25,5
21.53068655324576,-7.836529028697031,2.0045820831961376,23,-20,5
23.0940044855774,-6.188019851911189,2.091737825943796,24,-15,5
23.545446292569768,-4.151697454202147,2.091737825943796,24,-10,5
23.817693036146498,-2.083778132003164,2.091737825943796,24,-5,5
23.908672754201895,0.0,2.091737825943796,24,0,5
21.83288528313429,1.9101299543362336,1.9174263404484797,22,5,5
18.64014498161773,3.2867604845766993,1.655959112205505,19,10,5
17.320503364183047,4.641014888933391,1.568803369457847,18,15,5
16.850102519931465,6.132935761588981,1.568803369457847,18,20,5
22.57147530712934,10.52525179157086,2.1788935686914543,25,25,5
22.313473382225748,-10.404943518169585,4.341204441673258,25,-25,10
15.732081832771497,-5.7260095101689075,2.952019020337816,17,-20,10
17.12252236615556,-4.587966040395218,3.125667198004746,18,-15,10
16.48738727668022,-2.9071712182681835,2.952019020337816,17,-10,10
17.659084719427323,-1.5449697211937632,3.125667198004746,18,-5,10
16.741731801207536,0.0,2.952019020337816,17,0,10
16.678024457236916,1.4591380700163317,2.952019020337816,17,5,10
16.48738727668022,2.9071712182681835,2.952019020337816,17,10,10
16.17127112359136,4.333079038151039,2.952019020337816,17,15,10
14.806665254373174,5.389185421335442,2.7783708426708853,16,20,10
16.06570083520254,7.491559333082102,3.125667198004746,18,25,10
15.757669765180676,-7.347922086181228,4.658742811845373,18,-25,15
11.799753825474793,-4.294759164141578,3.3646475863327696,13,-20,15
12.129165124598853,-3.2499999999999996,3.3646475863327696,13,-15,15
12.366266153334571,-2.180506373454768,3.3646475863327696,13,-10,15
12.509252429687757,-1.0944177767817995,3.3646475863327696,13,-5,15
12.557035741757888,0.0,3.3646475863327696,13,0,15
12.509252429687757,1.0944177767817995,3.3646475863327696,13,5,15
8.56126118307778,1.5095813354686856,2.3293714059226867,9,10,15
7.464101615137755,1.9999999999999998,2.070552360820166,8,15,15
11.799753825474793,4.294759164141578,3.3646475863327696,13,20,15
11.38053927485271,5.306832617797553,3.3646475863327696,13,25,15
11.071459615308905,-5.1627064055723375,4.446261863233693,13,-25,20
7.947199994035402,-2.8925442435894273,3.0781812899310186,9,-20,20
8.169060340713319,-2.1888931212152456,3.0781812899310186,9,-15,20
8.328749205584911,-1.4685832004988135,3.0781812899310186,9,-10,20
8.425051259965732,-0.7370964748718041,3.0781812899310186,9,-5,20
8.457233587073176,0.0,3.0781812899310186,9,0,20
8.425051259965732,0.7370964748718041,3.0781812899310186,9,5,20
9.254165783983234,1.6317591116653483,3.420201433256687,10,10,20
9.076733711903689,2.4321034680169396,3.420201433256687,10,15,20
8.830222215594892,3.2139380484326967,3.420201433256687,10,20,20
8.516507396391466,3.971312619671029,3.420201433256687,10,25,20
8.213938048432695,-3.83022221559489,4.2261826174069945,10,-25,25
5.961555177474025,-2.1698286345361124,2.9583278321848963,7,-20,25
6.127982686459151,-1.6419880120686312,2.9583278321848963,7,-15,25
6.24777254702321,-1.1016508693698386,2.9583278321848963,7,-10,25
6.320013085996214,-0.5529294983601594,2.9583278321848963,7,-5,25
6.3441545092565494,0.0,2.9583278321848963,7,0,25
6.320013085996214,0.5529294983601594,2.9583278321848963,7,5,25
6.24777254702321,1.1016508693698386,2.9583278321848963,7,10,25
6.127982686459151,1.6419880120686312,2.9583278321848963,7,15,25
5.961555177474025,2.1698286345361124,2.9583278321848963,7,20,25
6.571150438746157,3.064177772475912,3.3809460939255955,8,25,25
